DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
8/1/2017 12:50,28.56,66.23,4.906,818,162.1,42289.01221,28309.60929,27644.38871
8/1/2017 13:00,28.41,67.17,4.908,820,162.5,42084.43951,28666.94826,27776.80251
8/1/2017 13:10,28.57,67.43,4.906,822,163.3,42193.11876,28590.91869,27758.74608
8/1/2017 13:20,28.37,68.53,4.907,822,163.9,42129.18979,28655.54382,27734.67085
8/1/2017 13:30,28.31,69.8,4.904,822,166.1,42058.86792,28644.13939,27885.14107
8/1/2017 13:40,28.25,70.8,4.904,821,168.5,41873.47392,28944.45618,27903.19749
8/1/2017 13:50,28.2,72,4.905,821,175.3,42014.11765,29138.33157,27849.02821
8/1/2017 14:00,28.36,72.2,4.905,798,180.1,42014.11765,29104.11827,27800.87774
8/1/2017 14:10,28.39,72.5,4.905,807,185.9,42237.86903,29138.33157,27824.95298
8/1/2017 14:20,28.23,73.5,4.905,796,196,42205.90455,29126.92714,27957.36677
8/1/2017 14:30,28.33,73.6,4.903,798,211.6,41720.0444,28815.20591,27716.61442
8/1/2017 14:40,28.5,72.2,4.905,783,203.9,41879.86681,28640.33791,27746.70846
8/1/2017 14:50,28.33,72.4,4.906,750,197.8,41668.90122,28400.84477,27770.7837
8/1/2017 15:00,28.4,72.3,4.906,723,198.9,41445.14983,28359.02851,27487.89969
8/1/2017 15:10,28.42,72.1,4.905,740,202.6,41278.93452,28336.21964,27536.05016
8/1/2017 15:20,28.59,71.4,4.905,722,201.5,41151.07658,28127.13833,27301.31661
8/1/2017 15:30,28.57,71.1,4.906,703,199.1,41067.96892,27990.28511,27361.5047
8/1/2017 15:40,28.69,71,4.904,687.6,200.7,40556.53718,27880.04224,27205.01567
8/1/2017 15:50,28.71,70.1,4.907,671,206,40262.46393,27522.70327,27295.29781
8/1/2017 16:00,29.08,69.3,4.905,643,203.2,40038.71254,27461.87962,27445.76803
8/1/2017 16:10,28.86,69.9,4.907,623.5,208.8,39821.35405,27431.46779,27337.42947
8/1/2017 16:20,29.07,70.1,4.904,616.3,228.2,39635.96004,27017.10665,27307.33542
8/1/2017 16:30,29.08,69.33,4.907,601.2,255.8,39412.20866,27001.90074,27379.56113
8/1/2017 16:40,28.74,71.1,4.904,555.8,303.6,39386.63707,26815.6283,27325.39185
8/1/2017 16:50,28.73,72.1,4.906,567.4,407.1,38523.596,26891.65787,27403.63636
8/1/2017 17:00,28.87,70.9,4.907,363.6,373.8,38376.55938,26591.34108,27319.37304
8/1/2017 17:10,28.66,72.4,4.905,215.1,171,38446.88124,26443.08342,27205.01567
8/1/2017 17:20,28.52,72.8,4.906,305.7,228.8,38536.3818,26469.69377,27066.58307
8/1/2017 17:30,28.57,72.7,4.903,429.7,365,38408.52386,26484.89968,27048.52665
8/1/2017 17:40,28.5,72.9,4.904,430.1,376,38197.55827,26176.97994,27235.10972
8/1/2017 17:50,28.41,73,4.904,372.4,332.4,38076.09323,26184.58289,27283.26019
8/1/2017 18:00,28.37,73.7,4.907,318.1,292.3,38127.2364,25842.44984,27397.61755
8/1/2017 18:10,28.4,73.2,4.908,286,264.7,37916.27081,26154.17107,27554.10658
8/1/2017 18:20,28.56,72,4.906,252.7,235.1,38120.84351,26040.12672,27824.95298
8/1/2017 18:30,28.46,72.8,4.905,224,207.2,38050.52164,26146.56811,28005.51724
8/1/2017 18:40,28.31,73.3,4.903,195,179.4,38350.98779,26378.45829,28450.90909
8/1/2017 18:50,28.18,73.9,4.904,165.1,151.4,38958.31299,26674.9736,29221.31661
8/1/2017 19:00,28.03,74.3,4.905,139.2,127.4,39674.31743,26944.87856,30569.52978
8/1/2017 19:10,28.01,74.3,4.904,112.3,101.4,40952.89678,27640.5491,32345.07837
8/1/2017 19:20,28.11,73.5,4.904,88.2,78.3,42762.08657,29556.49419,34842.88401
8/1/2017 19:30,27.87,75.6,4.904,66.95,58.33,45741.17647,31365.99789,37057.80564
8/1/2017 19:40,27.48,77.5,4.904,48.37,41.16,48004.26193,32772.54488,38219.43574
8/1/2017 19:50,27.23,78.6,4.904,31.87,26.93,49161.37625,33259.13411,38737.05329
8/1/2017 20:00,26.99,79.9,4.903,17.86,14.91,49960.48835,33289.54593,39086.1442
8/1/2017 20:10,26.85,80.8,4.907,8.79,7.36,49685.59378,33255.33263,38965.76803
8/1/2017 20:20,26.72,81.5,4.906,3.353,2.757,49391.52053,33175.50158,38815.29781
8/1/2017 20:30,26.65,81.6,4.905,1.005,0.837,49039.91121,32996.8321,38652.78997
8/1/2017 20:40,26.64,81.5,4.906,0.227,0.163,48924.83907,32924.60401,38436.11285
8/1/2017 20:50,26.67,81.2,4.906,0.095,0.089,49014.33962,32704.11827,38195.3605
8/1/2017 21:00,26.71,81.1,4.904,0.084,0.089,48432.58602,32339.17635,38014.79624
8/1/2017 21:10,26.63,81.3,4.905,0.044,0.133,48215.22752,32464.62513,37804.13793
8/1/2017 21:20,26.61,81.5,4.909,0.066,0.089,47921.15427,32301.16156,37707.83699
8/1/2017 21:30,26.56,81.9,4.904,0.088,0.096,47850.83241,32373.38965,37581.44201
8/1/2017 21:40,26.48,82.3,4.904,0.073,0.107,47313.82908,32035.05808,37190.21944
8/1/2017 21:50,26.44,82.4,4.908,0.048,0.119,47013.36293,31913.41077,36612.41379
8/1/2017 22:00,26.39,82.6,4.905,0.073,0.082,46418.82353,31164.51954,36209.15361
8/1/2017 22:10,26.36,82.7,4.908,0.091,0.126,45849.85572,30674.12883,36022.57053
8/1/2017 22:20,26.31,82.9,4.909,0.059,0.1,45197.78024,30430.83421,35817.93103
8/1/2017 22:30,26.3,82.9,4.908,0.048,0.13,44641.59822,30331.99578,35360.50157
8/1/2017 22:40,26.36,82.7,4.911,0.08,0.074,43861.66482,30164.73073,34854.92163
8/1/2017 22:50,26.37,82.8,4.911,0.062,0.137,43068.94562,29799.78881,34012.2884
8/1/2017 23:00,26.34,83.2,4.905,0.084,0.13,41783.97336,29381.62619,33332.16301
8/1/2017 23:10,26.26,83.8,4.907,0.069,0.13,40972.07547,28849.41922,32838.62069
8/1/2017 23:20,26.17,84.2,4.912,0.062,0.115,40422.28635,28431.2566,32555.73668
8/1/2017 23:30,26.14,84.5,4.914,0.088,0.144,39591.20977,27815.41711,31857.55486
8/1/2017 23:40,26.18,84.5,4.914,0.084,0.13,38670.63263,27484.68849,31189.46708
8/1/2017 23:50,26.2,84.4,4.913,0.066,0.122,37628.59046,26792.81943,30713.98119
8/2/2017 0:00,26.19,84.3,4.911,0.08,0.122,36708.01332,26184.58289,30340.81505
8/2/2017 0:10,26.16,84.3,4.911,0.073,0.13,36062.33074,25519.32418,29781.06583
8/2/2017 0:20,26.16,84.4,4.908,0.066,0.122,34822.10877,24789.44034,28234.23197
8/2/2017 0:30,26.19,84.4,4.911,0.062,0.13,34208.39068,24310.45407,27704.5768
8/2/2017 0:40,26.16,84.4,4.911,0.088,0.122,33556.31521,23721.22492,27174.92163
8/2/2017 0:50,26.15,84.4,4.912,0.099,0.111,33108.81243,23147.20169,26476.73981
8/2/2017 1:00,26.17,84.4,4.907,0.051,0.144,32475.91565,22964.73073,26061.44201
8/2/2017 1:10,26.17,84.7,4.909,0.066,0.119,31932.51942,22493.34741,25610.03135
8/2/2017 1:20,26.14,84.9,4.908,0.055,0.156,31427.48058,22261.45723,25230.84639
8/2/2017 1:30,26.09,85,4.91,0.08,0.111,30979.9778,21915.5227,24815.54859
8/2/2017 1:40,26.02,85.4,4.91,0.099,0.133,30583.6182,21626.61035,24448.40125
8/2/2017 1:50,26.02,85.8,4.91,0.069,0.152,30270.36626,21550.58078,24063.19749
8/2/2017 2:00,26.02,86.8,4.908,0.08,0.1,29886.79245,21299.68321,23665.95611
8/2/2017 2:10,25.99,87.4,4.912,0.062,0.156,29842.04218,21041.18268,23316.8652
8/2/2017 2:20,25.94,87.8,4.913,0.08,0.148,29816.47059,20702.85111,23052.03762
8/2/2017 2:30,25.81,88.4,4.91,0.077,0.093,29400.9323,20451.95354,22648.77743
8/2/2017 2:40,25.68,88.9,4.913,0.084,0.152,28966.21532,20277.08553,22474.23197
8/2/2017 2:50,25.65,89.3,4.912,0.095,0.144,28870.32186,20155.43823,22335.79937
8/2/2017 3:00,25.56,89.6,4.907,0.088,0.159,28780.82131,19999.57761,22227.46082
8/2/2017 3:10,25.45,90,4.91,0.106,0.115,28825.57159,19836.11404,21643.63636
8/2/2017 3:20,25.37,90.5,4.908,0.08,0.13,28959.82242,19695.45935,21306.58307
8/2/2017 3:30,25.33,90.9,4.909,0.066,0.122,28800,19585.21647,21306.58307
8/2/2017 3:40,25.31,91.1,4.91,0.073,0.13,29196.3596,19817.10665,21541.31661
8/2/2017 3:50,25.27,91.4,4.911,0.08,0.13,29631.07658,20041.39388,21204.26332
8/2/2017 4:00,25.28,91.6,4.914,0.084,0.141,29100.46615,19862.72439,20903.32288
8/2/2017 4:10,25.29,91.8,4.912,0.077,0.122,28857.53607,19566.20908,20680.62696
8/2/2017 4:20,25.25,91.9,4.91,0.088,0.137,28557.06992,19444.56177,20343.57367
8/2/2017 4:30,25.23,92.1,4.911,0.102,0.089,28422.81909,19254.48786,20132.91536
8/2/2017 4:40,25.19,92.2,4.91,0.084,0.107,28077.60266,19014.99472,19807.89969
8/2/2017 4:50,25.21,92.3,4.91,0.099,0.085,26709.52275,18285.11088,19254.16928
8/2/2017 5:00,25.18,92.4,4.913,0.091,0.096,25680.26637,17323.33685,18435.61129
8/2/2017 5:10,25.16,92.5,4.912,0.099,0.119,24670.18868,16787.32841,17562.88401
8/2/2017 5:20,25.15,92.6,4.913,0.08,0.078,24056.47059,16506.01901,16479.49843
8/2/2017 5:30,25.15,92.7,4.911,0.106,0.037,23704.86127,16076.45195,16274.85893
8/2/2017 5:40,25.09,92.8,4.911,0.099,0.115,23487.50277,16148.68004,16316.9906
8/2/2017 5:50,25.11,92.9,4.914,0.095,0.096,23577.00333,16061.24604,16347.08464
8/2/2017 6:00,25.11,93,4.911,0.088,0.122,23787.96892,15643.08342,16365.14107
8/2/2017 6:10,25.05,93,4.909,0.161,0.115,24190.72142,16167.68743,16768.40125
8/2/2017 6:20,25.06,93.1,4.911,0.347,0.252,24606.25971,16308.34213,16509.59248
8/2/2017 6:30,25.07,93.1,4.908,1.218,0.967,24881.15427,16095.45935,16497.55486
8/2/2017 6:40,25.08,93.2,4.908,2.519,1.93,25347.83574,16445.19535,16792.47649
8/2/2017 6:50,25.07,93.2,4.91,5.177,3.964,25367.01443,16616.26188,17039.24765
8/2/2017 7:00,25.08,93.2,4.914,6.764,4.946,26287.59156,17197.88807,17394.35737
8/2/2017 7:10,25.07,93.3,4.912,6.614,5.035,27182.59711,17555.22703,17719.37304
8/2/2017 7:20,25.07,93.3,4.91,10.98,8.28,27968.92342,18414.36114,18543.94984
8/2/2017 7:30,25.07,93.4,4.908,15.44,11.33,28320.53274,19075.81837,19115.73668
8/2/2017 7:40,25.08,93.4,4.908,25.6,19,28831.96448,19398.94403,19621.31661
8/2/2017 7:50,25.1,93.4,4.906,39.28,29.35,29452.07547,19931.151,20114.85893
8/2/2017 8:00,25.15,93.5,4.909,39.51,28.7,30372.65261,20482.36536,20451.91223
8/2/2017 8:10,25.16,93.5,4.909,43.64,31.83,30986.3707,20961.35164,20993.60502
8/2/2017 8:20,25.18,93.6,4.908,58.42,44.42,31600.08879,21493.55861,21360.75235
8/2/2017 8:30,25.23,93.5,4.91,57.65,46.27,32284.12875,21847.09609,21872.3511
8/2/2017 8:40,25.17,93.5,4.905,61.37,46.49,32891.45394,22740.44351,22323.76176
8/2/2017 8:50,25.18,93.6,4.91,52.07,39.39,33447.63596,23211.82682,22859.43574
8/2/2017 9:00,25.2,93.5,4.908,47.9,36.37,34106.10433,23599.57761,23244.6395
8/2/2017 9:10,25.27,93.5,4.909,53.95,39.63,35244.03996,24238.22598,23280.75235
8/2/2017 9:20,25.24,93.5,4.909,63.09,47.38,35998.40178,24823.65364,23611.78683
8/2/2017 9:30,25.23,93.5,4.91,91.5,69.44,36266.90344,24994.72017,24273.8558
8/2/2017 9:40,25.31,93.5,4.911,122.8,94,36823.08546,25431.89018,24749.34169
8/2/2017 9:50,25.31,93.4,4.911,172.1,130.4,37539.0899,25572.54488,24990.09404
8/2/2017 10:00,25.46,93.5,4.911,199.2,153.4,38248.70144,25888.06758,25513.73041
8/2/2017 10:10,25.49,93.3,4.91,222.5,157.4,39239.60044,26157.97254,25856.80251
8/2/2017 10:20,25.5,93.1,4.911,188.2,132.2,39584.81687,26553.32629,26278.11912
8/2/2017 10:30,25.71,93,4.909,210.8,156.5,40166.57048,26686.37804,26597.11599
8/2/2017 10:40,25.82,92.6,4.91,161.9,119,40543.75139,26937.27561,26615.17241
8/2/2017 10:50,25.95,92,4.911,199.9,149.6,40601.28746,27123.54805,26910.09404
8/2/2017 11:00,26.09,91.6,4.906,244.2,189.2,40997.64706,27629.14467,27054.54545
8/2/2017 11:10,26.13,91,4.91,296,217.3,41183.04107,27553.1151,27367.52351
8/2/2017 11:20,26.09,90.4,4.907,265.8,206.3,41004.03996,28153.74868,27602.25705
8/2/2017 11:30,26.13,89.8,4.908,244.5,188.5,41272.54162,28780.99261,27770.7837
8/2/2017 11:40,26.25,89.4,4.908,258.8,194.9,41425.97114,28754.38226,27951.34796
8/2/2017 11:50,26.41,88.8,4.909,395.4,284.1,41726.43729,28929.25026,28348.58934
8/2/2017 12:00,26.77,88.6,4.909,442.8,314,41726.43729,29020.48574,28420.81505
8/2/2017 12:10,26.78,87.2,4.91,347.9,264,42180.33296,29240.97149,28625.45455
8/2/2017 12:20,26.97,86.2,4.912,470.7,340,42122.79689,29393.03062,28878.24451
8/2/2017 12:30,27.17,84.2,4.908,324.7,216.3,42167.54717,29476.66315,29197.24138
8/2/2017 12:40,27.19,83.1,4.911,293.3,215.1,42231.47614,29385.42767,29209.279
8/2/2017 12:50,27.25,82.6,4.91,219.3,162.5,41994.93896,29240.97149,29311.59875
8/2/2017 13:00,27.22,81.8,4.908,245,168.7,42289.01221,29446.25132,29317.61755
8/2/2017 13:10,27.25,81.7,4.908,91.4,66.98,42474.40622,29590.7075,29353.73041
8/2/2017 13:20,27.21,81.2,4.909,46.67,34.82,42583.08546,29628.72228,29437.99373
8/2/2017 13:30,27.14,81.4,4.909,30.9,23.48,42327.36959,29792.18585,29341.69279
8/2/2017 13:40,27.06,81.8,4.912,41.7,30.52,42033.29634,29499.47202,29155.10972
8/2/2017 13:50,26.88,82.7,4.912,56.15,40.95,42186.72586,29526.08237,28041.63009
8/2/2017 14:00,26.59,83.1,4.912,88.1,64.31,41988.54606,29556.49419,26368.40125
8/2/2017 14:10,26.24,83.4,4.912,112.2,84.2,41739.22309,29659.13411,26085.51724
8/2/2017 14:20,26.29,82.6,4.914,112.8,86.8,41323.68479,29431.04541,25935.04702
8/2/2017 14:30,26.68,82.3,4.907,102.7,77.5,41310.899,29503.2735,25826.70846
8/2/2017 14:40,26.68,81.6,4.91,96.5,72.6,41400.39956,29438.64836,25477.61755
8/2/2017 14:50,26.84,81.6,4.913,93.2,70.9,41298.11321,29336.00845,25513.73041
8/2/2017 15:00,26.87,81.3,4.909,98.8,75.9,41074.36182,29050.89757,25495.67398
8/2/2017 15:10,26.9,81.9,4.916,99.5,74.9,40543.75139,28739.17635,25399.37304
8/2/2017 15:20,26.74,82.8,4.914,102,77.3,40409.50055,28568.10982,25333.16614
8/2/2017 15:30,26.67,83.1,4.913,123.3,93.9,40281.64262,28473.07286,25230.84639
8/2/2017 15:40,26.66,83.6,4.911,155.1,117.4,39930.0333,28275.39599,25248.90282
8/2/2017 15:50,26.49,83.8,4.914,142.1,108.1,39789.38957,28077.71911,25212.78997
8/2/2017 16:00,26.39,84.1,4.912,165.3,125.2,39667.92453,27895.24815,25260.94044
8/2/2017 16:10,26.43,84.3,4.91,191.8,146.6,39763.81798,27788.80676,25303.0721
8/2/2017 16:20,26.47,84.4,4.91,243.4,185.8,39795.78246,27796.40971,25116.48903
8/2/2017 16:30,26.63,84.6,4.914,351.3,249.5,39456.95893,27651.95354,23750.21944
8/2/2017 16:40,26.59,84.7,4.908,356.8,261.3,39463.35183,27610.13728,24538.68339
8/2/2017 16:50,26.4,85.1,4.91,488.7,358.3,39188.45727,27317.42344,24719.24765
8/2/2017 17:00,26.56,85.2,4.911,404.6,301.7,38932.7414,27058.92291,24881.75549
8/2/2017 17:10,26.63,84.2,4.91,356.7,267.6,38747.34739,26929.67265,25405.39185
8/2/2017 17:20,26.61,84,4.911,417.1,330.5,38721.7758,26994.29778,25597.99373
8/2/2017 17:30,26.67,83.2,4.909,354.7,278,38606.70366,27241.39388,25814.67085
8/2/2017 17:40,26.73,82.7,4.91,476.6,392.4,38951.92009,27104.54065,26025.32915
8/2/2017 17:50,26.84,82.1,4.913,404.8,331.1,38504.41731,27416.26188,26223.94984
8/2/2017 18:00,27.05,81.1,4.907,431.5,361.7,38466.05993,27408.65892,26398.4953
8/2/2017 18:10,27.58,80.1,4.909,380.3,317.7,38593.91787,27260.40127,26518.87147
8/2/2017 18:20,27.84,77.9,4.907,351.3,306.8,38817.66926,27222.38648,26693.41693
8/2/2017 18:30,27.88,75.7,4.909,314.9,278.4,39015.84906,27439.07075,26729.52978
8/2/2017 18:40,28.27,74.6,4.911,271.5,240.9,39156.49279,27644.35058,27253.16614
8/2/2017 18:50,28.29,69.5,4.904,238.8,211.5,39802.17536,27773.60084,27560.12539
8/2/2017 19:00,28.62,55.2,4.905,189.1,170,40530.96559,28153.74868,28270.34483
8/2/2017 19:10,28.58,53.76,4.905,136.1,122.8,41208.61265,28815.20591,29811.15987
8/2/2017 19:20,28.34,51.76,4.906,102.8,91.4,43343.84018,30579.09187,32790.47022
8/2/2017 19:30,28.15,50.59,4.902,79.9,70.5,46463.57381,32468.42661,34830.84639
8/2/2017 19:40,27.95,49.89,4.903,55.99,48.74,48662.7303,33722.91447,36112.85266
8/2/2017 19:50,27.64,49.16,4.904,36.4,31.63,49736.73696,34129.67265,36877.24138
8/2/2017 20:00,27.37,49.86,4.904,22.52,19.26,50331.27636,34456.59979,37214.29467
8/2/2017 20:10,27.05,52.33,4.903,12.25,10.35,50190.63263,34464.20275,37111.97492
8/2/2017 20:20,26.83,54.1,4.905,5.411,4.513,49998.84573,34426.18796,37003.63636
8/2/2017 20:30,26.58,56.6,4.904,1.539,1.308,49915.73807,34414.78353,36684.6395
8/2/2017 20:40,26.35,57.3,4.906,0.26,0.245,49768.70144,33890.17951,36546.2069
8/2/2017 20:50,26.17,57.73,4.908,0.113,0.059,49570.52164,33323.75924,36299.43574
8/2/2017 21:00,25.91,56.86,4.904,0.084,0.107,49218.91232,33084.2661,36004.51411
8/2/2017 21:10,25.82,58.93,4.906,0.084,0.085,48963.19645,33175.50158,35462.82132
8/2/2017 21:20,25.72,59.83,4.904,0.069,0.104,48899.26748,32947.41288,34951.22257
8/2/2017 21:30,25.67,59.4,4.903,0.073,0.126,48771.40954,32647.09609,34704.45141
8/2/2017 21:40,25.66,59.76,4.905,0.099,0.063,48240.79911,32555.86061,34578.05643
8/2/2017 21:50,25.51,61.13,4.909,0.073,0.107,48049.01221,32278.35269,34138.68339
8/2/2017 22:00,25.39,61.5,4.903,0.073,0.089,47543.97336,32038.85956,33970.15674
8/2/2017 22:10,25.35,61.26,4.907,0.062,0.082,46693.71809,31875.39599,33783.57367
8/2/2017 22:20,25.29,61.1,4.908,0.091,0.07,46054.42841,31575.0792,33548.84013
8/2/2017 22:30,25.21,62.06,4.905,0.084,0.074,45728.39068,31035.26927,33314.10658
8/2/2017 22:40,25.07,62.43,4.909,0.113,0.085,44731.09878,30913.62196,32880.75235
8/2/2017 22:50,24.97,62.46,4.909,0.099,0.085,44059.84462,30734.95248,32140.43887
8/2/2017 23:00,24.95,62.9,4.902,0.077,0.107,43369.41176,29944.24498,31622.82132
8/2/2017 23:10,24.93,63.6,4.91,0.095,0.059,42538.33518,29526.08237,31213.54232
8/2/2017 23:20,24.82,64.67,4.911,0.11,0.13,41809.54495,29001.47835,30996.8652
