Wind Speed,general diffuse flows,diffuse flows,Month,Year,Day,DayOfWeek,Hour_sin,Hour_cos,Hour_normalized,Minute_normalized,Zone 1 normalized,Temperature normalized,Humidity normalized,Wind Speed normalized
4.904,0.066,0.159,8,2017,1,1,0.707,0.707,0.125,0.5,0.366,0.299,0.78,0.987
4.906,0.062,0.13,8,2017,1,1,0.707,0.707,0.125,0.667,0.381,0.291,0.78,0.987
4.908,0.08,0.13,8,2017,1,1,0.707,0.707,0.125,0.833,0.384,0.299,0.773,0.988
4.906,0.08,0.156,8,2017,1,1,0.866,0.5,0.167,0.0,0.379,0.303,0.77,0.987
4.906,0.099,0.111,8,2017,1,1,0.866,0.5,0.167,0.167,0.374,0.301,0.776,0.987
4.907,0.08,0.093,8,2017,1,1,0.866,0.5,0.167,0.333,0.358,0.295,0.784,0.988
4.907,0.073,0.148,8,2017,1,1,0.866,0.5,0.167,0.5,0.346,0.291,0.784,0.988
4.908,0.051,0.13,8,2017,1,1,0.866,0.5,0.167,0.667,0.342,0.296,0.784,0.988
4.908,0.091,0.111,8,2017,1,1,0.866,0.5,0.167,0.833,0.306,0.296,0.792,0.988
4.907,0.091,0.119,8,2017,1,1,0.966,0.259,0.208,0.0,0.262,0.294,0.8,0.988
4.911,0.095,0.126,8,2017,1,1,0.966,0.259,0.208,0.167,0.241,0.287,0.802,0.988
4.91,0.095,0.144,8,2017,1,1,0.966,0.259,0.208,0.333,0.221,0.284,0.805,0.988
4.91,0.062,0.119,8,2017,1,1,0.966,0.259,0.208,0.5,0.209,0.29,0.806,0.988
4.91,0.095,0.104,8,2017,1,1,0.966,0.259,0.208,0.667,0.212,0.289,0.811,0.988
4.91,0.091,0.133,8,2017,1,1,0.966,0.259,0.208,0.833,0.223,0.28,0.811,0.988
4.909,0.113,0.078,8,2017,1,1,1.0,0.0,0.25,0.0,0.227,0.273,0.809,0.988
4.911,0.516,0.441,8,2017,1,1,1.0,0.0,0.25,0.167,0.234,0.274,0.806,0.988
4.91,1.931,1.386,8,2017,1,1,1.0,0.0,0.25,0.333,0.244,0.276,0.807,0.988
4.909,5.539,4.291,8,2017,1,1,1.0,0.0,0.25,0.5,0.255,0.274,0.802,0.988
4.91,14.8,11.29,8,2017,1,1,1.0,0.0,0.25,0.667,0.256,0.279,0.793,0.988
4.908,29.67,22.78,8,2017,1,1,1.0,0.0,0.25,0.833,0.265,0.284,0.795,0.988
4.914,48.55,37.38,8,2017,1,1,0.966,-0.259,0.292,0.0,0.287,0.29,0.798,0.989
4.911,62.53,47.94,8,2017,1,1,0.966,-0.259,0.292,0.167,0.307,0.303,0.798,0.988
4.911,72.8,56.09,8,2017,1,1,0.966,-0.259,0.292,0.333,0.318,0.316,0.793,0.988
4.911,87.0,69.96,8,2017,1,1,0.966,-0.259,0.292,0.5,0.329,0.319,0.791,0.988
4.909,69.7,56.38,8,2017,1,1,0.966,-0.259,0.292,0.667,0.342,0.328,0.777,0.988
4.907,102.0,80.4,8,2017,1,1,0.966,-0.259,0.292,0.833,0.352,0.34,0.764,0.988
4.908,98.4,72.8,8,2017,1,1,0.866,-0.5,0.333,0.0,0.38,0.355,0.75,0.988
4.909,166.9,112.9,8,2017,1,1,0.866,-0.5,0.333,0.167,0.416,0.365,0.75,0.988
4.91,268.7,132.8,8,2017,1,1,0.866,-0.5,0.333,0.333,0.425,0.387,0.753,0.988
4.91,299.8,115.6,8,2017,1,1,0.866,-0.5,0.333,0.5,0.439,0.405,0.759,0.988
4.91,330.0,117.9,8,2017,1,1,0.866,-0.5,0.333,0.667,0.453,0.42,0.763,0.988
4.912,349.8,128.8,8,2017,1,1,0.866,-0.5,0.333,0.833,0.472,0.432,0.755,0.989
4.908,380.6,139.8,8,2017,1,1,0.707,-0.707,0.375,0.0,0.487,0.435,0.755,0.988
4.909,424.3,138.5,8,2017,1,1,0.707,-0.707,0.375,0.167,0.503,0.44,0.754,0.988
4.908,428.4,139.4,8,2017,1,1,0.707,-0.707,0.375,0.333,0.522,0.451,0.745,0.988
4.91,445.1,148.5,8,2017,1,1,0.707,-0.707,0.375,0.5,0.533,0.452,0.748,0.988
4.908,477.1,142.4,8,2017,1,1,0.707,-0.707,0.375,0.667,0.551,0.46,0.745,0.988
4.908,539.4,144.6,8,2017,1,1,0.707,-0.707,0.375,0.833,0.569,0.463,0.738,0.988
4.911,566.2,142.5,8,2017,1,1,0.5,-0.866,0.417,0.0,0.592,0.477,0.729,0.988
4.907,587.6,141.6,8,2017,1,1,0.5,-0.866,0.417,0.167,0.598,0.483,0.717,0.988
4.909,615.5,141.7,8,2017,1,1,0.5,-0.866,0.417,0.333,0.608,0.479,0.717,0.988
4.909,662.1,155.1,8,2017,1,1,0.5,-0.866,0.417,0.5,0.631,0.485,0.717,0.988
4.909,623.0,165.8,8,2017,1,1,0.5,-0.866,0.417,0.667,0.647,0.495,0.705,0.988
4.911,653.1,167.6,8,2017,1,1,0.5,-0.866,0.417,0.833,0.657,0.497,0.707,0.988
4.908,700.0,158.0,8,2017,1,1,0.259,-0.966,0.458,0.0,0.661,0.509,0.7,0.988
4.909,716.0,153.6,8,2017,1,1,0.259,-0.966,0.458,0.167,0.665,0.518,0.689,0.988
4.91,734.0,157.4,8,2017,1,1,0.259,-0.966,0.458,0.333,0.676,0.529,0.675,0.988
4.907,747.0,158.9,8,2017,1,1,0.259,-0.966,0.458,0.5,0.688,0.525,0.679,0.988
4.911,773.0,170.9,8,2017,1,1,0.259,-0.966,0.458,0.667,0.7,0.539,0.677,0.988
4.909,776.0,172.9,8,2017,1,1,0.259,-0.966,0.458,0.833,0.717,0.563,0.655,0.988
4.905,787.0,160.7,8,2017,1,1,0.0,-1.0,0.5,0.0,0.701,0.578,0.638,0.987
4.907,792.0,160.9,8,2017,1,1,0.0,-1.0,0.5,0.167,0.705,0.587,0.639,0.988
4.907,801.0,161.5,8,2017,1,1,0.0,-1.0,0.5,0.333,0.721,0.575,0.647,0.988
4.909,810.0,162.6,8,2017,1,1,0.0,-1.0,0.5,0.5,0.715,0.562,0.669,0.988
4.908,816.0,162.1,8,2017,1,1,0.0,-1.0,0.5,0.667,0.714,0.564,0.668,0.988
4.906,818.0,162.1,8,2017,1,1,0.0,-1.0,0.5,0.833,0.708,0.567,0.663,0.987
4.908,820.0,162.5,8,2017,1,1,-0.259,-0.966,0.542,0.0,0.702,0.558,0.675,0.988
4.906,822.0,163.3,8,2017,1,1,-0.259,-0.966,0.542,0.167,0.705,0.568,0.678,0.987
4.907,822.0,163.9,8,2017,1,1,-0.259,-0.966,0.542,0.333,0.703,0.556,0.692,0.988
4.904,822.0,166.1,8,2017,1,1,-0.259,-0.966,0.542,0.5,0.701,0.552,0.707,0.987
4.904,821.0,168.5,8,2017,1,1,-0.259,-0.966,0.542,0.667,0.695,0.549,0.72,0.987
4.905,821.0,175.3,8,2017,1,1,-0.259,-0.966,0.542,0.833,0.7,0.546,0.734,0.987
4.905,798.0,180.1,8,2017,1,1,-0.5,-0.866,0.583,0.0,0.7,0.555,0.737,0.987
4.905,807.0,185.9,8,2017,1,1,-0.5,-0.866,0.583,0.167,0.706,0.557,0.741,0.987
4.905,796.0,196.0,8,2017,1,1,-0.5,-0.866,0.583,0.333,0.705,0.548,0.753,0.987
4.903,798.0,211.6,8,2017,1,1,-0.5,-0.866,0.583,0.5,0.691,0.554,0.754,0.987
4.905,783.0,203.9,8,2017,1,1,-0.5,-0.866,0.583,0.667,0.696,0.564,0.737,0.987
4.906,750.0,197.8,8,2017,1,1,-0.5,-0.866,0.583,0.833,0.689,0.554,0.739,0.987
4.906,723.0,198.9,8,2017,1,1,-0.707,-0.707,0.625,0.0,0.683,0.558,0.738,0.987
4.905,740.0,202.6,8,2017,1,1,-0.707,-0.707,0.625,0.167,0.678,0.559,0.736,0.987
4.905,722.0,201.5,8,2017,1,1,-0.707,-0.707,0.625,0.333,0.674,0.569,0.727,0.987
4.906,703.0,199.1,8,2017,1,1,-0.707,-0.707,0.625,0.5,0.672,0.568,0.723,0.987
4.904,687.6,200.7,8,2017,1,1,-0.707,-0.707,0.625,0.667,0.657,0.575,0.722,0.987
4.907,671.0,206.0,8,2017,1,1,-0.707,-0.707,0.625,0.833,0.648,0.576,0.711,0.988
4.905,643.0,203.2,8,2017,1,1,-0.866,-0.5,0.667,0.0,0.641,0.598,0.701,0.987
4.907,623.5,208.8,8,2017,1,1,-0.866,-0.5,0.667,0.167,0.635,0.585,0.709,0.988
4.904,616.3,228.2,8,2017,1,1,-0.866,-0.5,0.667,0.333,0.629,0.597,0.711,0.987
4.907,601.2,255.8,8,2017,1,1,-0.866,-0.5,0.667,0.5,0.623,0.598,0.702,0.988
4.904,555.8,303.6,8,2017,1,1,-0.866,-0.5,0.667,0.667,0.622,0.578,0.723,0.987
4.906,567.4,407.1,8,2017,1,1,-0.866,-0.5,0.667,0.833,0.597,0.577,0.736,0.987
4.907,363.6,373.8,8,2017,1,1,-0.966,-0.259,0.708,0.0,0.592,0.585,0.721,0.988
4.905,215.1,171.0,8,2017,1,1,-0.966,-0.259,0.708,0.167,0.594,0.573,0.739,0.987
4.906,305.7,228.8,8,2017,1,1,-0.966,-0.259,0.708,0.333,0.597,0.565,0.744,0.987
4.903,429.7,365.0,8,2017,1,1,-0.966,-0.259,0.708,0.5,0.593,0.568,0.743,0.987
4.904,430.1,376.0,8,2017,1,1,-0.966,-0.259,0.708,0.667,0.587,0.564,0.745,0.987
4.904,372.4,332.4,8,2017,1,1,-0.966,-0.259,0.708,0.833,0.583,0.558,0.747,0.987
4.907,318.1,292.3,8,2017,1,1,-1.0,-0.0,0.75,0.0,0.585,0.556,0.755,0.988
4.908,286.0,264.7,8,2017,1,1,-1.0,-0.0,0.75,0.167,0.579,0.558,0.749,0.988
4.906,252.7,235.1,8,2017,1,1,-1.0,-0.0,0.75,0.333,0.585,0.567,0.734,0.987
4.905,224.0,207.2,8,2017,1,1,-1.0,-0.0,0.75,0.5,0.583,0.561,0.744,0.987
4.903,195.0,179.4,8,2017,1,1,-1.0,-0.0,0.75,0.667,0.592,0.552,0.75,0.987
4.904,165.1,151.4,8,2017,1,1,-1.0,-0.0,0.75,0.833,0.609,0.545,0.758,0.987
4.905,139.2,127.4,8,2017,1,1,-0.966,0.259,0.792,0.0,0.631,0.536,0.763,0.987
4.904,112.3,101.4,8,2017,1,1,-0.966,0.259,0.792,0.167,0.668,0.535,0.763,0.987
4.904,88.2,78.3,8,2017,1,1,-0.966,0.259,0.792,0.333,0.722,0.541,0.753,0.987
4.904,66.95,58.33,8,2017,1,1,-0.966,0.259,0.792,0.5,0.809,0.527,0.779,0.987
4.904,48.37,41.16,8,2017,1,1,-0.966,0.259,0.792,0.667,0.876,0.504,0.802,0.987
4.904,31.87,26.93,8,2017,1,1,-0.966,0.259,0.792,0.833,0.91,0.489,0.816,0.987
4.903,17.86,14.91,8,2017,1,1,-0.866,0.5,0.833,0.0,0.934,0.475,0.832,0.987
4.907,8.79,7.36,8,2017,1,1,-0.866,0.5,0.833,0.167,0.926,0.467,0.843,0.988
4.906,3.353,2.757,8,2017,1,1,-0.866,0.5,0.833,0.333,0.917,0.459,0.851,0.987
4.905,1.005,0.837,8,2017,1,1,-0.866,0.5,0.833,0.5,0.907,0.455,0.852,0.987
4.906,0.227,0.163,8,2017,1,1,-0.866,0.5,0.833,0.667,0.903,0.455,0.851,0.987
4.906,0.095,0.089,8,2017,1,1,-0.866,0.5,0.833,0.833,0.906,0.456,0.848,0.987
4.904,0.084,0.089,8,2017,1,1,-0.707,0.707,0.875,0.0,0.889,0.459,0.846,0.987
4.905,0.044,0.133,8,2017,1,1,-0.707,0.707,0.875,0.167,0.882,0.454,0.849,0.987
4.909,0.066,0.089,8,2017,1,1,-0.707,0.707,0.875,0.333,0.874,0.453,0.851,0.988
4.904,0.088,0.096,8,2017,1,1,-0.707,0.707,0.875,0.5,0.872,0.45,0.856,0.987
4.904,0.073,0.107,8,2017,1,1,-0.707,0.707,0.875,0.667,0.856,0.445,0.861,0.987
4.908,0.048,0.119,8,2017,1,1,-0.707,0.707,0.875,0.833,0.847,0.443,0.862,0.988
4.905,0.073,0.082,8,2017,1,1,-0.5,0.866,0.917,0.0,0.829,0.44,0.865,0.987
4.908,0.091,0.126,8,2017,1,1,-0.5,0.866,0.917,0.167,0.813,0.438,0.866,0.988
4.909,0.059,0.1,8,2017,1,1,-0.5,0.866,0.917,0.333,0.793,0.435,0.868,0.988
4.908,0.048,0.13,8,2017,1,1,-0.5,0.866,0.917,0.5,0.777,0.435,0.868,0.988
4.911,0.08,0.074,8,2017,1,1,-0.5,0.866,0.917,0.667,0.754,0.438,0.866,0.988
4.911,0.062,0.137,8,2017,1,1,-0.5,0.866,0.917,0.833,0.731,0.439,0.867,0.988
4.905,0.084,0.13,8,2017,1,1,-0.259,0.966,0.958,0.0,0.693,0.437,0.872,0.987
4.907,0.069,0.13,8,2017,1,1,-0.259,0.966,0.958,0.167,0.669,0.432,0.88,0.988
4.912,0.062,0.115,8,2017,1,1,-0.259,0.966,0.958,0.333,0.653,0.427,0.884,0.989
4.914,0.088,0.144,8,2017,1,1,-0.259,0.966,0.958,0.5,0.628,0.425,0.888,0.989
4.914,0.084,0.13,8,2017,1,1,-0.259,0.966,0.958,0.667,0.601,0.428,0.888,0.989
4.913,0.066,0.122,8,2017,1,1,-0.259,0.966,0.958,0.833,0.57,0.429,0.887,0.989
4.911,0.08,0.122,8,2017,2,2,0.0,1.0,0.0,0.0,0.543,0.428,0.886,0.988
4.911,0.073,0.13,8,2017,2,2,0.0,1.0,0.0,0.167,0.524,0.426,0.886,0.988
4.908,0.066,0.122,8,2017,2,2,0.0,1.0,0.0,0.333,0.488,0.426,0.887,0.988
4.911,0.062,0.13,8,2017,2,2,0.0,1.0,0.0,0.5,0.469,0.428,0.887,0.988
4.911,0.088,0.122,8,2017,2,2,0.0,1.0,0.0,0.667,0.45,0.426,0.887,0.988
4.912,0.099,0.111,8,2017,2,2,0.0,1.0,0.0,0.833,0.437,0.426,0.887,0.989
4.907,0.051,0.144,8,2017,2,2,0.259,0.966,0.042,0.0,0.418,0.427,0.887,0.988
4.909,0.066,0.119,8,2017,2,2,0.259,0.966,0.042,0.167,0.402,0.427,0.891,0.988
4.908,0.055,0.156,8,2017,2,2,0.259,0.966,0.042,0.333,0.387,0.425,0.893,0.988
4.91,0.08,0.111,8,2017,2,2,0.259,0.966,0.042,0.5,0.374,0.422,0.894,0.988
4.91,0.099,0.133,8,2017,2,2,0.259,0.966,0.042,0.667,0.363,0.418,0.899,0.988
4.91,0.069,0.152,8,2017,2,2,0.259,0.966,0.042,0.833,0.353,0.418,0.904,0.988
4.908,0.08,0.1,8,2017,2,2,0.5,0.866,0.083,0.0,0.342,0.418,0.916,0.988
4.912,0.062,0.156,8,2017,2,2,0.5,0.866,0.083,0.167,0.341,0.416,0.924,0.989
4.913,0.08,0.148,8,2017,2,2,0.5,0.866,0.083,0.333,0.34,0.413,0.929,0.989
4.91,0.077,0.093,8,2017,2,2,0.5,0.866,0.083,0.5,0.328,0.406,0.936,0.988
4.913,0.084,0.152,8,2017,2,2,0.5,0.866,0.083,0.667,0.315,0.398,0.942,0.989
4.912,0.095,0.144,8,2017,2,2,0.5,0.866,0.083,0.833,0.312,0.396,0.947,0.989
4.907,0.088,0.159,8,2017,2,2,0.707,0.707,0.125,0.0,0.309,0.391,0.951,0.988
4.91,0.106,0.115,8,2017,2,2,0.707,0.707,0.125,0.167,0.311,0.385,0.956,0.988
4.908,0.08,0.13,8,2017,2,2,0.707,0.707,0.125,0.333,0.315,0.38,0.962,0.988
4.909,0.066,0.122,8,2017,2,2,0.707,0.707,0.125,0.5,0.31,0.378,0.967,0.988
4.91,0.073,0.13,8,2017,2,2,0.707,0.707,0.125,0.667,0.322,0.377,0.969,0.988
4.911,0.08,0.13,8,2017,2,2,0.707,0.707,0.125,0.833,0.335,0.374,0.973,0.988
4.914,0.084,0.141,8,2017,2,2,0.866,0.5,0.167,0.0,0.319,0.375,0.975,0.989
4.912,0.077,0.122,8,2017,2,2,0.866,0.5,0.167,0.167,0.312,0.375,0.978,0.989
4.91,0.088,0.137,8,2017,2,2,0.866,0.5,0.167,0.333,0.303,0.373,0.979,0.988
4.911,0.102,0.089,8,2017,2,2,0.866,0.5,0.167,0.5,0.299,0.372,0.982,0.988
4.91,0.084,0.107,8,2017,2,2,0.866,0.5,0.167,0.667,0.289,0.37,0.983,0.988
4.91,0.099,0.085,8,2017,2,2,0.866,0.5,0.167,0.833,0.248,0.371,0.984,0.988
4.913,0.091,0.096,8,2017,2,2,0.966,0.259,0.208,0.0,0.218,0.369,0.985,0.989
4.912,0.099,0.119,8,2017,2,2,0.966,0.259,0.208,0.167,0.188,0.368,0.986,0.989
4.913,0.08,0.078,8,2017,2,2,0.966,0.259,0.208,0.333,0.17,0.367,0.988,0.989
4.911,0.106,0.037,8,2017,2,2,0.966,0.259,0.208,0.5,0.16,0.367,0.989,0.988
4.911,0.099,0.115,8,2017,2,2,0.966,0.259,0.208,0.667,0.153,0.364,0.99,0.988
4.914,0.095,0.096,8,2017,2,2,0.966,0.259,0.208,0.833,0.156,0.365,0.991,0.989
4.911,0.088,0.122,8,2017,2,2,1.0,0.0,0.25,0.0,0.162,0.365,0.993,0.988
4.909,0.161,0.115,8,2017,2,2,1.0,0.0,0.25,0.167,0.174,0.361,0.993,0.988
4.911,0.347,0.252,8,2017,2,2,1.0,0.0,0.25,0.333,0.186,0.362,0.994,0.988
4.908,1.218,0.967,8,2017,2,2,1.0,0.0,0.25,0.5,0.194,0.362,0.994,0.988
4.908,2.519,1.93,8,2017,2,2,1.0,0.0,0.25,0.667,0.208,0.363,0.995,0.988
4.91,5.177,3.964,8,2017,2,2,1.0,0.0,0.25,0.833,0.209,0.362,0.995,0.988
4.914,6.764,4.946,8,2017,2,2,0.966,-0.259,0.292,0.0,0.236,0.363,0.995,0.989
4.912,6.614,5.035,8,2017,2,2,0.966,-0.259,0.292,0.167,0.262,0.362,0.996,0.989
4.91,10.98,8.28,8,2017,2,2,0.966,-0.259,0.292,0.333,0.286,0.362,0.996,0.988
4.908,15.44,11.33,8,2017,2,2,0.966,-0.259,0.292,0.5,0.296,0.362,0.998,0.988
4.908,25.6,19.0,8,2017,2,2,0.966,-0.259,0.292,0.667,0.311,0.363,0.998,0.988
4.906,39.28,29.35,8,2017,2,2,0.966,-0.259,0.292,0.833,0.329,0.364,0.998,0.987
4.909,39.51,28.7,8,2017,2,2,0.866,-0.5,0.333,0.0,0.356,0.367,0.999,0.988
4.909,43.64,31.83,8,2017,2,2,0.866,-0.5,0.333,0.167,0.374,0.368,0.999,0.988
4.908,58.42,44.42,8,2017,2,2,0.866,-0.5,0.333,0.333,0.393,0.369,1.0,0.988
4.91,57.65,46.27,8,2017,2,2,0.866,-0.5,0.333,0.5,0.413,0.372,0.999,0.988
4.905,61.37,46.49,8,2017,2,2,0.866,-0.5,0.333,0.667,0.431,0.368,0.999,0.987
4.91,52.07,39.39,8,2017,2,2,0.866,-0.5,0.333,0.833,0.447,0.369,1.0,0.988
4.908,47.9,36.37,8,2017,2,2,0.707,-0.707,0.375,0.0,0.466,0.37,0.999,0.988
4.909,53.95,39.63,8,2017,2,2,0.707,-0.707,0.375,0.167,0.5,0.374,0.999,0.988
4.909,63.09,47.38,8,2017,2,2,0.707,-0.707,0.375,0.333,0.522,0.372,0.999,0.988
4.91,91.5,69.44,8,2017,2,2,0.707,-0.707,0.375,0.5,0.53,0.372,0.999,0.988
4.911,122.8,94.0,8,2017,2,2,0.707,-0.707,0.375,0.667,0.547,0.377,0.999,0.988
4.911,172.1,130.4,8,2017,2,2,0.707,-0.707,0.375,0.833,0.568,0.377,0.998,0.988
4.911,199.2,153.4,8,2017,2,2,0.5,-0.866,0.417,0.0,0.589,0.385,0.999,0.988
4.91,222.5,157.4,8,2017,2,2,0.5,-0.866,0.417,0.167,0.618,0.387,0.996,0.988
4.911,188.2,132.2,8,2017,2,2,0.5,-0.866,0.417,0.333,0.628,0.388,0.994,0.988
4.909,210.8,156.5,8,2017,2,2,0.5,-0.866,0.417,0.5,0.645,0.4,0.993,0.988
4.91,161.9,119.0,8,2017,2,2,0.5,-0.866,0.417,0.667,0.656,0.406,0.988,0.988
4.911,199.9,149.6,8,2017,2,2,0.5,-0.866,0.417,0.833,0.658,0.414,0.98,0.988
4.906,244.2,189.2,8,2017,2,2,0.259,-0.966,0.458,0.0,0.67,0.422,0.975,0.987
4.91,296.0,217.3,8,2017,2,2,0.259,-0.966,0.458,0.167,0.675,0.425,0.968,0.988
4.907,265.8,206.3,8,2017,2,2,0.259,-0.966,0.458,0.333,0.67,0.422,0.961,0.988
4.908,244.5,188.5,8,2017,2,2,0.259,-0.966,0.458,0.5,0.678,0.425,0.953,0.988
4.908,258.8,194.9,8,2017,2,2,0.259,-0.966,0.458,0.667,0.682,0.432,0.948,0.988
4.909,395.4,284.1,8,2017,2,2,0.259,-0.966,0.458,0.833,0.691,0.441,0.941,0.988
4.909,442.8,314.0,8,2017,2,2,0.0,-1.0,0.5,0.0,0.691,0.462,0.939,0.988
4.91,347.9,264.0,8,2017,2,2,0.0,-1.0,0.5,0.167,0.704,0.463,0.921,0.988
4.912,470.7,340.0,8,2017,2,2,0.0,-1.0,0.5,0.333,0.703,0.474,0.909,0.989
4.908,324.7,216.3,8,2017,2,2,0.0,-1.0,0.5,0.5,0.704,0.486,0.884,0.988
4.911,293.3,215.1,8,2017,2,2,0.0,-1.0,0.5,0.667,0.706,0.487,0.871,0.988
4.91,219.3,162.5,8,2017,2,2,0.0,-1.0,0.5,0.833,0.699,0.49,0.865,0.988
4.908,245.0,168.7,8,2017,2,2,-0.259,-0.966,0.542,0.0,0.708,0.489,0.855,0.988
4.908,91.4,66.98,8,2017,2,2,-0.259,-0.966,0.542,0.167,0.713,0.49,0.854,0.988
4.909,46.67,34.82,8,2017,2,2,-0.259,-0.966,0.542,0.333,0.716,0.488,0.848,0.988
4.909,30.9,23.48,8,2017,2,2,-0.259,-0.966,0.542,0.5,0.709,0.484,0.85,0.988
4.912,41.7,30.52,8,2017,2,2,-0.259,-0.966,0.542,0.667,0.7,0.479,0.855,0.989
4.912,56.15,40.95,8,2017,2,2,-0.259,-0.966,0.542,0.833,0.705,0.469,0.866,0.989
4.912,88.1,64.31,8,2017,2,2,-0.5,-0.866,0.583,0.0,0.699,0.452,0.871,0.989
4.912,112.2,84.2,8,2017,2,2,-0.5,-0.866,0.583,0.167,0.691,0.431,0.875,0.989
4.914,112.8,86.8,8,2017,2,2,-0.5,-0.866,0.583,0.333,0.679,0.434,0.865,0.989
4.907,102.7,77.5,8,2017,2,2,-0.5,-0.866,0.583,0.5,0.679,0.457,0.861,0.988
4.91,96.5,72.6,8,2017,2,2,-0.5,-0.866,0.583,0.667,0.681,0.457,0.852,0.988
4.913,93.2,70.9,8,2017,2,2,-0.5,-0.866,0.583,0.833,0.678,0.466,0.852,0.989
4.909,98.8,75.9,8,2017,2,2,-0.707,-0.707,0.625,0.0,0.672,0.468,0.849,0.988
4.916,99.5,74.9,8,2017,2,2,-0.707,-0.707,0.625,0.167,0.656,0.47,0.856,0.989
4.914,102.0,77.3,8,2017,2,2,-0.707,-0.707,0.625,0.333,0.652,0.46,0.867,0.989
4.913,123.3,93.9,8,2017,2,2,-0.707,-0.707,0.625,0.5,0.649,0.456,0.871,0.989
4.911,155.1,117.4,8,2017,2,2,-0.707,-0.707,0.625,0.667,0.638,0.456,0.877,0.988
4.914,142.1,108.1,8,2017,2,2,-0.707,-0.707,0.625,0.833,0.634,0.446,0.88,0.989
4.912,165.3,125.2,8,2017,2,2,-0.866,-0.5,0.667,0.0,0.63,0.44,0.883,0.989
4.91,191.8,146.6,8,2017,2,2,-0.866,-0.5,0.667,0.167,0.633,0.442,0.886,0.988
4.91,243.4,185.8,8,2017,2,2,-0.866,-0.5,0.667,0.333,0.634,0.445,0.887,0.988
4.914,351.3,249.5,8,2017,2,2,-0.866,-0.5,0.667,0.5,0.624,0.454,0.889,0.989
4.908,356.8,261.3,8,2017,2,2,-0.866,-0.5,0.667,0.667,0.624,0.452,0.891,0.988
4.91,488.7,358.3,8,2017,2,2,-0.866,-0.5,0.667,0.833,0.616,0.44,0.895,0.988
4.911,404.6,301.7,8,2017,2,2,-0.966,-0.259,0.708,0.0,0.609,0.45,0.897,0.988
4.91,356.7,267.6,8,2017,2,2,-0.966,-0.259,0.708,0.167,0.603,0.454,0.884,0.988
4.911,417.1,330.5,8,2017,2,2,-0.966,-0.259,0.708,0.333,0.603,0.453,0.882,0.988
4.909,354.7,278.0,8,2017,2,2,-0.966,-0.259,0.708,0.5,0.599,0.456,0.872,0.988
4.91,476.6,392.4,8,2017,2,2,-0.966,-0.259,0.708,0.667,0.609,0.46,0.866,0.988
4.913,404.8,331.1,8,2017,2,2,-0.966,-0.259,0.708,0.833,0.596,0.466,0.859,0.989
4.907,431.5,361.7,8,2017,2,2,-1.0,-0.0,0.75,0.0,0.595,0.479,0.846,0.988
4.909,380.3,317.7,8,2017,2,2,-1.0,-0.0,0.75,0.167,0.599,0.51,0.834,0.988
4.907,351.3,306.8,8,2017,2,2,-1.0,-0.0,0.75,0.333,0.605,0.525,0.807,0.988
